-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     272.000us        51.30%       12.267s        3.067s       0.000us         0.00%        3.963s     990.808ms      73.50 Mb        -808 b           0 b           0 b             4            --  
                                            aten::copy_         0.02%       4.136ms        48.63%       11.628s      54.847ms     265.107ms         2.26%     265.107ms       1.251ms           0 b           0 b           0 b           0 b           212            --  
                                               aten::to         0.00%     184.000us        48.61%       11.623s     968.573ms       0.000us         0.00%     218.526ms      18.210ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     380.000us        48.61%       11.623s     968.558ms       0.000us         0.00%     218.526ms      18.210ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
                                        cudaMemcpyAsync        48.60%       11.621s        48.60%       11.621s     193.687ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     282.000us        48.43%       11.582s        2.895s       0.000us         0.00%     180.568ms      45.142ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      46.000us        48.43%       11.581s        2.895s       0.000us         0.00%     180.568ms      45.142ms     147.00 Mb           0 b           0 b           0 b             4            --  
                              Conv2dRFFTFunction Step#9        12.20%        2.918s        12.86%        3.075s        3.075s       0.000us         0.00%     991.430ms     991.430ms          -4 b     -36.75 Mb           0 b    -229.05 Mb             1            --  
                             Conv2dRFFTFunction Step#11        12.23%        2.925s        12.83%        3.068s        3.068s       0.000us         0.00%     990.698ms     990.698ms          -4 b     -36.75 Mb           0 b    -229.05 Mb             1            --  
                              Conv2dRFFTFunction Step#8        12.22%        2.922s        12.83%        3.067s        3.067s       0.000us         0.00%     991.325ms     991.325ms      73.50 Mb      36.75 Mb           0 b    -230.46 Mb             1            --  
                             Conv2dRFFTFunction Step#10        12.21%        2.920s        12.79%        3.058s        3.058s       0.000us         0.00%     989.777ms     989.777ms          -4 b     -36.75 Mb           0 b    -230.46 Mb             1            --  
                                            aten::randn         0.00%     133.000us         2.11%     505.577ms      63.197ms       0.000us         0.00%       0.000us       0.000us     147.01 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         2.11%     505.155ms         2.11%     505.155ms      63.144ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%     331.000us         0.21%      49.734ms       3.108ms       0.000us         0.00%        7.529s     470.560ms           0 b           0 b     875.55 Mb    -363.16 Mb            16            --  
                             Conv2dRFFTFunctionBackward         0.03%       6.370ms         0.21%      49.403ms       3.088ms       0.000us         0.00%        7.529s     470.560ms           0 b           0 b       1.21 Gb    -663.19 Gb            16            --  
                                     Conv2dRFFTFunction         0.02%       4.396ms         0.12%      29.516ms       1.845ms       0.000us         0.00%        3.898s     243.612ms           0 b           0 b     285.91 Mb    -332.28 Gb            16            --  
                                       cudaLaunchKernel         0.11%      26.653ms         0.11%      26.653ms      11.237us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2372            --  
                                        aten::fft_rfftn         0.02%       4.077ms         0.08%      19.120ms     239.000us       0.000us         0.00%     125.246ms       1.566ms           0 b           0 b       2.95 Gb      -2.26 Gb            80            --  
