-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     153.000us        60.32%       43.134s       10.783s       0.000us         0.00%       15.369s        3.842s       9.19 Mb        -544 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        43.54%       31.132s        43.54%       31.132s     761.706us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         40872            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.01%       4.641ms        22.48%       16.070s      33.761ms       0.000us         0.00%       27.559s      57.897ms           0 b           0 b      25.46 Gb    -740.17 Mb           476            --  
                             Conv2dRFFTFunctionBackward         0.15%     110.389ms        22.47%       16.066s      33.752ms       0.000us         0.00%       27.559s      57.897ms           0 b           0 b      26.18 Gb   -2167.04 Gb           476            --  
                                            aten::copy_         0.06%      42.954ms        18.03%       12.890s       2.352ms     684.244ms         1.59%     684.244ms     124.862us           0 b           0 b           0 b           0 b          5480            --  
                                     Conv2dRFFTFunction         0.10%      74.508ms        17.13%       12.249s      25.732ms       0.000us         0.00%       15.306s      32.156ms           0 b           0 b     763.47 Mb   -1084.84 Gb           476            --  
                                        cudaMemcpyAsync        15.24%       10.895s        15.24%       10.895s       5.604ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1944            --  
                             Conv2dRFFTFunction Step#11         9.95%        7.118s        15.08%       10.784s       10.784s       0.000us         0.00%        3.842s        3.842s          -4 b      -4.59 Mb     832.00 Kb      -1.03 Gb             1            --  
                              Conv2dRFFTFunction Step#9         9.95%        7.117s        15.08%       10.784s       10.784s       0.000us         0.00%        3.843s        3.843s          -4 b      -4.59 Mb     832.00 Kb      -1.03 Gb             1            --  
                              Conv2dRFFTFunction Step#8         9.95%        7.116s        15.08%       10.783s       10.783s       0.000us         0.00%        3.842s        3.842s       9.19 Mb       4.59 Mb    -832.00 Kb      -1.03 Gb             1            --  
                             Conv2dRFFTFunction Step#10         9.95%        7.116s        15.08%       10.783s       10.783s       0.000us         0.00%        3.842s        3.842s          -4 b      -4.59 Mb    -832.00 Kb      -1.03 Gb             1            --  
                                               aten::to         0.00%      70.000us        13.46%        9.624s     601.498ms       0.000us         0.00%       9.822ms     613.875us      18.38 Mb           0 b      20.00 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     153.000us        13.46%        9.624s     801.992ms       0.000us         0.00%       9.822ms     818.500us      18.38 Mb           0 b      20.00 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      57.000us        13.45%        9.620s        2.405s       0.000us         0.00%       6.745ms       1.686ms      18.38 Mb           0 b     -20.00 Mb     -20.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      17.000us        13.45%        9.620s        2.405s       0.000us         0.00%       6.745ms       1.686ms      18.38 Mb           0 b           0 b           0 b             4            --  
                                              aten::mul         0.14%     102.967ms        11.94%        8.537s     996.384us       20.654s        47.98%       21.008s       2.452ms      -2.12 Kb      -2.12 Kb    1896.84 Gb    1869.68 Gb          8568  87412671.892  
                                       aten::fft_irfftn         0.01%       4.231ms        10.23%        7.311s       5.120ms       0.000us         0.00%        1.743s       1.220ms           0 b           0 b      26.93 Gb           0 b          1428            --  
                                         aten::_fft_c2r         0.07%      53.271ms        10.22%        7.307s       5.117ms        1.263s         2.93%        1.743s       1.220ms           0 b           0 b      26.93 Gb     -84.65 Gb          1428            --  
                                        aten::fft_rfftn         0.01%      10.228ms         8.84%        6.322s       2.656ms       0.000us         0.00%        2.223s     934.046us           0 b           0 b      57.57 Gb     -33.44 Gb          2380            --  
                                         aten::_fft_r2c         0.11%      75.479ms         6.99%        4.998s       2.100ms        1.990s         4.62%        1.990s     836.103us           0 b           0 b      42.24 Gb    -124.59 Gb          2380            --  
                                              aten::add         0.06%      45.280ms         6.13%        4.383s     877.348us       11.079s        25.74%       11.079s       2.217ms           0 b           0 b     949.48 Gb     949.48 Gb          4996  170015629.312  
                                  aten::constant_pad_nd         0.03%      18.213ms         3.40%        2.433s       1.139ms       0.000us         0.00%     271.516ms     127.114us           0 b           0 b      52.51 Gb           0 b          2136            --  
                                            aten::clone         0.02%      13.069ms         3.38%        2.419s     633.248us       0.000us         0.00%     624.784ms     163.556us           0 b           0 b      58.90 Gb           0 b          3820            --  
                                              aten::sum         0.04%      25.271ms         2.54%        1.817s       1.269ms        2.887s         6.71%        2.887s       2.016ms           0 b           0 b      29.18 Gb      29.18 Gb          1432            --  
      autograd::engine::evaluate_function: CatBackward0         0.02%      12.618ms         1.90%        1.360s       5.483ms       0.000us         0.00%      17.492ms      70.532us           0 b           0 b      -1.12 Gb      -2.19 Gb           248            --  
                                             aten::add_         0.02%      16.155ms         1.83%        1.309s     674.546us      12.294ms         0.03%      12.294ms       6.337us         -16 b         -16 b      -3.50 Kb      -3.50 Kb          1940            --  
                                            aten::fill_         0.02%      11.499ms         1.68%        1.201s     726.820us     200.539ms         0.47%     200.539ms     121.392us           0 b           0 b           0 b           0 b          1652            --  
                                             aten::mul_         0.01%       9.378ms         1.63%        1.163s     814.707us       0.000us         0.00%     230.569ms     161.463us           0 b       2.12 Kb           0 b           0 b          1428            --  
                                              aten::pad         0.00%       2.902ms         1.57%        1.122s       1.179ms       0.000us         0.00%      38.413ms      40.350us           0 b           0 b       3.74 Gb           0 b           952            --  
                                              aten::sub         0.02%      15.573ms         1.45%        1.039s     727.778us        4.136s         9.61%        4.136s       2.896ms           0 b           0 b     316.14 Gb     316.14 Gb          1428            --  
                                            aten::relu_         0.01%       4.091ms         1.30%     931.254ms       1.924ms       0.000us         0.00%      14.228ms      29.397us           0 b           0 b           0 b           0 b           484            --  
                                       aten::clamp_min_         0.01%       3.927ms         1.30%     927.163ms       1.916ms      14.228ms         0.03%      14.228ms      29.397us           0 b           0 b           0 b           0 b           484            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.585ms         1.01%     725.532ms     496.940us       0.000us         0.00%      11.190ms       7.664us           0 b           0 b     -24.31 Gb           0 b          1460            --  
                        torch::autograd::AccumulateGrad         0.01%       6.251ms         1.01%     719.947ms     493.114us       0.000us         0.00%      11.190ms       7.664us           0 b           0 b     -24.31 Gb     -24.31 Gb          1460            --  
                                       aten::batch_norm         0.00%       1.121ms         0.86%     615.637ms       1.272ms       0.000us         0.00%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.00%       1.578ms         0.86%     614.516ms       1.270ms       0.000us         0.00%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.02%      16.353ms         0.86%     612.938ms       1.266ms      26.252ms         0.06%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.440ms         0.42%     301.469ms     622.870us       0.000us         0.00%      37.147ms      76.750us           0 b           0 b      -1.94 Gb      -3.85 Gb           484            --  
                                CudnnBatchNormBackward0         0.00%       2.220ms         0.41%     296.029ms     611.630us       0.000us         0.00%      37.147ms      76.750us           0 b           0 b       1.90 Gb           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.02%      11.307ms         0.41%     293.809ms     607.043us      37.147ms         0.09%      37.147ms      76.750us           0 b           0 b       1.90 Gb           0 b           484            --  
