-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     270.000us        55.44%       45.101s       11.275s       0.000us         0.00%       14.903s        3.726s      18.38 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        43.11%       35.071s        43.11%       35.071s       1.139ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         30800            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.01%       8.426ms        32.89%       26.751s      64.931ms       0.000us         0.00%       29.678s      72.034ms           0 b           0 b      11.08 Gb      -3.55 Gb           412            --  
                             Conv2dRFFTFunctionBackward         0.18%     142.514ms        32.82%       26.702s      64.810ms       0.000us         0.00%       29.676s      72.030ms           0 b           0 b      14.48 Gb   -2368.84 Gb           412            --  
                                       aten::fft_irfftn         0.01%       6.762ms        15.26%       12.417s      10.046ms       0.000us         0.00%        1.701s       1.376ms           0 b           0 b      16.31 Gb           0 b          1236            --  
                                         aten::_fft_c2r         0.09%      69.349ms        15.26%       12.410s      10.040ms        1.406s         3.13%        1.701s       1.376ms           0 b           0 b      16.31 Gb     -61.93 Gb          1236            --  
                             Conv2dRFFTFunction Step#10        11.20%        9.108s        13.86%       11.278s       11.278s       0.000us         0.00%        3.726s        3.726s          -4 b      -9.19 Mb    -588.00 Kb      -2.62 Gb             1            --  
                              Conv2dRFFTFunction Step#9        11.25%        9.155s        13.86%       11.275s       11.275s       0.000us         0.00%        3.725s        3.725s          -4 b      -9.19 Mb     588.00 Kb      -2.62 Gb             1            --  
                             Conv2dRFFTFunction Step#11        11.19%        9.102s        13.86%       11.275s       11.275s       0.000us         0.00%        3.726s        3.726s          -4 b      -9.19 Mb     588.00 Kb      -2.62 Gb             1            --  
                              Conv2dRFFTFunction Step#8        11.23%        9.133s        13.86%       11.273s       11.273s       0.000us         0.00%        3.725s        3.725s      18.38 Mb       9.19 Mb    -588.00 Kb      -2.62 Gb             1            --  
                                            aten::copy_         0.07%      54.971ms        12.88%       10.481s       2.352ms     506.356ms         1.13%     506.356ms     113.635us           0 b           0 b           0 b           0 b          4456            --  
                                        cudaMemcpyAsync        10.25%        8.338s        10.25%        8.338s       3.474ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2400            --  
                                              aten::mul         0.18%     146.500ms         9.82%        7.992s       1.101ms       21.457s        47.76%       21.675s       2.985ms        -160 b        -160 b    2103.89 Gb    2087.29 Gb          7260     97359.003  
                                        aten::fft_rfftn         0.02%      12.862ms         9.65%        7.849s       3.810ms       0.000us         0.00%        1.264s     613.742us           0 b           0 b      34.20 Gb     -24.10 Gb          2060            --  
                                     Conv2dRFFTFunction         0.17%     134.471ms         8.23%        6.692s      16.242ms       0.000us         0.00%       14.739s      35.773ms           0 b           0 b       1.83 Gb   -1186.13 Gb           412            --  
                                         aten::_fft_r2c         0.11%      93.315ms         8.09%        6.578s       3.193ms        1.105s         2.46%        1.105s     536.454us           0 b           0 b      32.26 Gb     -66.75 Gb          2060            --  
                                               aten::to         0.00%     260.000us         7.21%        5.866s      48.882ms       0.000us         0.00%      30.084ms     250.700us      36.75 Mb           0 b      37.90 Mb           0 b           120            --  
                                         aten::_to_copy         0.00%     332.000us         7.21%        5.866s     488.803ms       0.000us         0.00%      30.084ms       2.507ms      36.75 Mb           0 b      37.90 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     141.000us         7.20%        5.857s        1.464s       0.000us         0.00%      23.260ms       5.815ms      36.75 Mb           0 b     -37.90 Mb     -37.90 Mb             4            --  
                                        ToCopyBackward0         0.00%      26.000us         7.20%        5.857s        1.464s       0.000us         0.00%      23.260ms       5.815ms      36.75 Mb           0 b           0 b           0 b             4            --  
                                            aten::clone         0.03%      26.883ms         5.02%        4.083s       1.015ms       0.000us         0.00%     421.738ms     104.806us           0 b           0 b      40.33 Gb           0 b          4024            --  
                                              aten::add         0.06%      45.703ms         3.20%        2.602s     909.756us       12.256s        27.28%       12.256s       4.285ms           0 b           0 b    1051.27 Gb    1051.27 Gb          2860    188246.660  
                                             aten::add_         0.03%      21.759ms         2.60%        2.115s       1.210ms      14.967ms         0.03%      14.967ms       8.562us           0 b           0 b           0 b           0 b          1748            --  
                                  aten::constant_pad_nd         0.01%      12.063ms         2.52%        2.049s       1.663ms       0.000us         0.00%     184.321ms     149.611us           0 b           0 b      28.93 Gb           0 b          1232            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       7.851ms         2.24%        1.825s       1.338ms       0.000us         0.00%      11.944ms       8.757us           0 b           0 b     -13.06 Gb           0 b          1364            --  
                        torch::autograd::AccumulateGrad         0.01%       8.788ms         2.23%        1.817s       1.332ms       0.000us         0.00%      11.944ms       8.757us           0 b           0 b     -13.06 Gb     -13.06 Gb          1364            --  
                                              aten::sum         0.06%      44.962ms         1.88%        1.530s     985.904us        3.122s         6.95%        3.122s       2.012ms           0 b           0 b      18.10 Gb      18.10 Gb          1552            --  
                                              aten::sub         0.03%      20.566ms         1.25%        1.014s     820.621us        4.576s        10.19%        4.576s       3.703ms           0 b           0 b     349.96 Gb     349.96 Gb          1236            --  
                                              aten::pad         0.01%       4.893ms         0.98%     796.000ms     966.019us       0.000us         0.00%      25.107ms      30.470us           0 b           0 b       2.88 Gb           0 b           824            --  
                                            aten::fill_         0.01%       5.964ms         0.77%     628.584ms       1.526ms     104.701ms         0.23%     104.701ms     254.129us           0 b           0 b           0 b           0 b           412            --  
                                             aten::mul_         0.01%       7.794ms         0.71%     579.140ms     940.162us       5.000us         0.00%     139.754ms     226.873us           0 b         160 b           0 b           0 b           616            --  
                                            aten::silu_         0.01%       8.004ms         0.67%     545.209ms       1.747ms      24.582ms         0.05%      48.725ms     156.170us           0 b           0 b       2.78 Gb           0 b           312            --  
     autograd::engine::evaluate_function: SiluBackward0         0.00%       3.699ms         0.61%     492.927ms       1.580ms       0.000us         0.00%      37.257ms     119.413us           0 b           0 b      -2.75 Gb      -5.55 Gb           312            --  
                                          SiluBackward0         0.00%       1.411ms         0.60%     489.228ms       1.568ms       0.000us         0.00%      37.257ms     119.413us           0 b           0 b       2.80 Gb           0 b           312            --  
                                    aten::silu_backward         0.01%       5.000ms         0.60%     487.817ms       1.564ms      37.257ms         0.08%      37.257ms     119.413us           0 b           0 b       2.80 Gb       2.80 Gb           312            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.350ms         0.54%     437.736ms       1.403ms       0.000us         0.00%      63.439ms     203.330us           0 b           0 b      -3.15 Gb      -6.27 Gb           312            --  
                                CudnnBatchNormBackward0         0.00%       2.505ms         0.53%     432.386ms       1.386ms       0.000us         0.00%      63.439ms     203.330us           0 b           0 b       3.12 Gb           0 b           312            --  
                        aten::cudnn_batch_norm_backward         0.01%      11.836ms         0.53%     429.881ms       1.378ms      63.439ms         0.14%      63.439ms     203.330us           0 b           0 b       3.12 Gb           0 b           312            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.492ms         0.40%     327.110ms       3.029ms       0.000us         0.00%     154.959ms       1.435ms           0 b           0 b      -1.34 Gb      -3.12 Gb           108            --  
                                   ConvolutionBackward0         0.00%       1.135ms         0.40%     325.534ms       3.014ms       0.000us         0.00%     154.014ms       1.426ms           0 b           0 b       1.71 Gb           0 b           108            --  
                             aten::convolution_backward         0.01%       4.293ms         0.40%     324.399ms       3.004ms     154.014ms         0.34%     154.014ms       1.426ms           0 b           0 b       1.71 Gb      37.86 Mb           108            --  
      autograd::engine::evaluate_function: MulBackward0         0.00%       2.835ms         0.33%     268.465ms       1.491ms       0.000us         0.00%      34.360ms     190.889us           0 b           0 b    -965.21 Mb      -3.52 Gb           180            --  
                                       aten::batch_norm         0.00%       1.783ms         0.30%     240.607ms     771.176us       0.000us         0.00%      40.614ms     130.173us           0 b           0 b       3.16 Gb           0 b           312            --  
                           aten::_batch_norm_impl_index         0.00%       2.399ms         0.29%     238.824ms     765.462us       0.000us         0.00%      40.614ms     130.173us           0 b           0 b       3.16 Gb           0 b           312            --  
                                 aten::cudnn_batch_norm         0.03%      24.048ms         0.29%     236.425ms     757.772us      40.614ms         0.09%      40.614ms     130.173us           0 b           0 b       3.16 Gb           0 b           312            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       2.427ms         0.28%     227.292ms       2.105ms       0.000us         0.00%      21.523ms     199.287us           0 b           0 b      16.51 Mb      -2.33 Gb           108            --  
                                           MulBackward0         0.00%       1.729ms         0.27%     217.020ms       1.179ms       0.000us         0.00%      27.385ms     148.832us           0 b           0 b       2.58 Gb           0 b           184            --  
