-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     222.000us        50.48%       39.732s        9.933s       0.000us         0.00%       13.360s        3.340s      36.75 Mb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.01%      11.244ms        31.29%       24.625s      35.792ms     341.964ms         0.87%     341.964ms     497.041us           0 b           0 b           0 b           0 b           688            --  
                                        cudaMemcpyAsync        29.78%       23.440s        29.78%       23.440s     139.526ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%     194.000us        29.30%       23.060s        1.441s       0.000us         0.00%     150.070ms       9.379ms     147.00 Mb           0 b     147.01 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     396.000us        29.30%       23.059s        1.922s       0.000us         0.00%     150.070ms      12.506ms     147.00 Mb           0 b     147.01 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     187.000us        29.25%       23.018s        5.754s       0.000us         0.00%     110.434ms      27.608ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      46.000us        29.25%       23.017s        5.754s       0.000us         0.00%     110.434ms      27.608ms     147.00 Mb           0 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        19.60%       15.424s        19.60%       15.424s       2.303ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6696            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%       1.756ms        17.06%       13.429s     258.241ms       0.000us         0.00%       25.470s     489.810ms           0 b           0 b       2.54 Gb      -2.65 Gb            52            --  
                             Conv2dRFFTFunctionBackward         0.04%      34.856ms        16.89%       13.296s     255.700ms       0.000us         0.00%       25.462s     489.662ms           0 b           0 b       4.64 Gb   -2221.75 Gb            52            --  
                             Conv2dRFFTFunction Step#10        12.40%        9.758s        12.62%        9.936s        9.936s       0.000us         0.00%        3.341s        3.341s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                              Conv2dRFFTFunction Step#8        12.40%        9.758s        12.62%        9.934s        9.934s       0.000us         0.00%        3.340s        3.340s      36.75 Mb        -268 b           0 b      -1.74 Gb             1            --  
                              Conv2dRFFTFunction Step#9        12.40%        9.758s        12.62%        9.934s        9.934s       0.000us         0.00%        3.339s        3.339s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                             Conv2dRFFTFunction Step#11        12.41%        9.763s        12.61%        9.927s        9.927s       0.000us         0.00%        3.340s        3.340s          -4 b     -36.75 Mb           0 b      -1.74 Gb             1            --  
                                              aten::mul         0.04%      27.635ms         5.04%        3.970s       4.241ms       18.830s        48.07%       18.896s      20.188ms           0 b           0 b    1987.88 Gb    1982.82 Gb           936     91422.720  
                                        aten::fft_rfftn         0.00%       2.663ms         4.04%        3.180s      12.230ms       0.000us         0.00%     461.625ms       1.775ms           0 b           0 b      11.53 Gb      -7.82 Gb           260            --  
                                       aten::fft_irfftn         0.00%       1.131ms         3.64%        2.867s      18.376ms       0.000us         0.00%     503.295ms       3.226ms           0 b           0 b       6.09 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.02%      13.156ms         3.64%        2.866s      18.369ms     394.436ms         1.01%     503.295ms       3.226ms           0 b           0 b       6.09 Gb     -21.41 Gb           156            --  
                                         aten::_fft_r2c         0.02%      16.359ms         2.68%        2.108s       8.107ms     402.420ms         1.03%     402.420ms       1.548ms           0 b           0 b      11.53 Gb     -22.26 Gb           260            --  
                                              aten::add         0.01%       9.318ms         2.46%        1.934s       5.621ms       11.590s        29.59%       11.590s      33.693ms           0 b           0 b     994.83 Gb     994.83 Gb           344    178109.678  
                                  aten::constant_pad_nd         0.01%       5.662ms         2.12%        1.669s       6.420ms       0.000us         0.00%     101.978ms     392.223us           0 b           0 b      10.73 Gb           0 b           260            --  
                                              aten::sum         0.01%       9.152ms         1.48%        1.167s       7.293ms        2.920s         7.46%        2.920s      18.251ms           0 b           0 b       6.54 Gb       6.54 Gb           160            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.887ms         1.45%        1.138s       4.517ms       0.000us         0.00%       4.501ms      17.861us           0 b           0 b      -3.21 Gb           0 b           252            --  
                                             aten::add_         0.01%       5.882ms         1.44%        1.137s       3.159ms      14.089ms         0.04%      14.089ms      39.136us           0 b           0 b           0 b           0 b           360            --  
                        torch::autograd::AccumulateGrad         0.00%       2.593ms         1.44%        1.136s       4.509ms       0.000us         0.00%       4.501ms      17.861us           0 b           0 b      -3.21 Gb      -3.21 Gb           252            --  
                                            aten::fill_         0.00%       3.447ms         1.14%     894.428ms       3.388ms      46.094ms         0.12%      46.094ms     174.598us           0 b           0 b           0 b           0 b           264            --  
                                            aten::clone         0.00%       3.010ms         1.03%     814.435ms       1.958ms       0.000us         0.00%     132.929ms     319.541us           0 b           0 b      12.87 Gb           0 b           416            --  
                                              aten::pad         0.00%     697.000us         0.76%     600.430ms       5.773ms       0.000us         0.00%      42.773ms     411.279us           0 b           0 b       2.92 Gb           0 b           104            --  
                                             aten::mul_         0.00%       2.638ms         0.75%     586.948ms       3.762ms       0.000us         0.00%      52.866ms     338.885us           0 b           0 b           0 b           0 b           156            --  
                                            aten::randn         0.00%     145.000us         0.69%     539.231ms      67.404ms       0.000us         0.00%       0.000us       0.000us     147.01 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.68%     538.870ms         0.68%     538.870ms      67.359ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%       1.084ms         0.65%     512.390ms       7.535ms       0.000us         0.00%      28.893ms     424.897us           0 b           0 b      -2.32 Gb      -4.53 Gb            68            --  
                                          ReluBackward0         0.00%     874.000us         0.65%     511.306ms       7.519ms       0.000us         0.00%      28.893ms     424.897us           0 b           0 b       2.21 Gb           0 b            68            --  
                               aten::threshold_backward         0.00%       2.291ms         0.65%     510.432ms       7.506ms      28.893ms         0.07%      28.893ms     424.897us           0 b           0 b       2.21 Gb       2.21 Gb            68            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%     863.000us         0.58%     454.417ms      16.229ms       0.000us         0.00%     120.724ms       4.312ms           0 b           0 b    -607.61 Mb      -1.77 Gb            28            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.713ms         0.53%     413.502ms       5.169ms       0.000us         0.00%      54.013ms     675.163us           0 b           0 b      -1.66 Gb      -4.04 Gb            80            --  
                                CudnnBatchNormBackward0         0.00%     912.000us         0.52%     411.789ms       5.147ms       0.000us         0.00%      54.013ms     675.163us           0 b           0 b       2.38 Gb           0 b            80            --  
                        aten::cudnn_batch_norm_backward         0.01%       4.728ms         0.52%     410.877ms       5.136ms      54.013ms         0.14%      54.013ms     675.163us           0 b           0 b       2.38 Gb           0 b            80            --  
                                              aten::sub         0.00%       3.629ms         0.49%     389.347ms       2.496ms        4.332s        11.06%        4.332s      27.772ms           0 b           0 b     331.31 Gb     331.31 Gb           156            --  
                                   ConvolutionBackward0         0.00%     378.000us         0.48%     378.823ms      13.529ms       0.000us         0.00%     116.351ms       4.155ms           0 b           0 b     862.39 Mb           0 b            28            --  
                             aten::convolution_backward         0.00%       3.712ms         0.48%     378.445ms      13.516ms     116.351ms         0.30%     116.351ms       4.155ms           0 b           0 b     862.39 Mb     832.79 Mb            28            --  
                                     Conv2dRFFTFunction         0.02%      12.835ms         0.11%      87.647ms       1.686ms       0.000us         0.00%       13.219s     254.209ms           0 b           0 b       1.46 Gb   -1112.37 Gb            52            --  
                                            aten::empty         0.02%      19.604ms         0.02%      19.604ms       9.093us       0.000us         0.00%       0.000us       0.000us     147.01 Mb     147.01 Mb      78.11 Gb      78.11 Gb          2156            --  
                                       aten::batch_norm         0.00%     343.000us         0.02%      14.298ms     178.725us       0.000us         0.00%      43.650ms     545.625us           0 b           0 b       3.66 Gb           0 b            80            --  
                           aten::_batch_norm_impl_index         0.00%     655.000us         0.02%      13.955ms     174.438us       0.000us         0.00%      43.650ms     545.625us           0 b           0 b       3.66 Gb           0 b            80            --  
                                 aten::cudnn_batch_norm         0.01%       5.059ms         0.01%      10.290ms     128.625us      31.841ms         0.08%      31.841ms     398.012us           0 b           0 b       2.38 Gb           0 b            80            --  
                                            aten::slice         0.01%       5.511ms         0.01%       7.507ms       5.775us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                             aten::real         0.00%       1.969ms         0.01%       7.371ms      23.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
