-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.02%       9.378ms        80.67%       44.829s      67.923ms     712.162ms         2.56%     714.691ms       1.083ms           0 b           0 b           0 b      -9.31 Mb           660            --  
                                          ProfilerStep*         0.00%     232.000us        50.15%       27.868s        6.967s       0.000us         0.00%       10.255s        2.564s       4.59 Mb      -1.05 Kb           0 b           0 b             4            --  
                                        cudaMemcpyAsync        40.02%       22.242s        40.02%       22.242s     132.393ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%     168.000us        39.87%       22.155s        1.846s       0.000us         0.00%       3.976ms     331.333us       9.19 Mb           0 b       9.19 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     317.000us        39.87%       22.155s        1.846s       0.000us         0.00%       3.976ms     331.333us       9.19 Mb           0 b       9.19 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     227.000us        39.86%       22.152s        5.538s       0.000us         0.00%       2.529ms     632.250us       9.19 Mb           0 b      -9.35 Mb      -9.35 Mb             4            --  
                                        ToCopyBackward0         0.00%      39.000us        39.86%       22.152s        5.538s       0.000us         0.00%       2.529ms     632.250us       9.19 Mb           0 b           0 b           0 b             4            --  
                             Conv2dRFFTFunction Step#10        12.47%        6.932s        12.54%        6.969s        6.969s       0.000us         0.00%        2.564s        2.564s          -4 b      -2.30 Mb           0 b    -494.46 Mb             1            --  
                              Conv2dRFFTFunction Step#9        12.48%        6.933s        12.54%        6.968s        6.968s       0.000us         0.00%        2.563s        2.563s          -4 b      -2.30 Mb           0 b    -493.50 Mb             1            --  
                             Conv2dRFFTFunction Step#11        12.47%        6.931s        12.54%        6.966s        6.966s       0.000us         0.00%        2.564s        2.564s          -4 b      -2.30 Mb           0 b    -493.50 Mb             1            --  
                              Conv2dRFFTFunction Step#8        12.48%        6.934s        12.53%        6.965s        6.965s       0.000us         0.00%        2.564s        2.564s       4.59 Mb       2.30 Mb           0 b    -494.46 Mb             1            --  
                                       cudaLaunchKernel         9.63%        5.354s         9.63%        5.354s       1.096ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4884            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%       1.230ms         8.58%        4.767s      91.679ms       0.000us         0.00%       17.478s     336.116ms           0 b           0 b      27.68 Gb    -939.30 Mb            52            --  
                             Conv2dRFFTFunctionBackward         0.04%      23.792ms         8.58%        4.766s      91.655ms       0.000us         0.00%       17.478s     336.116ms           0 b           0 b      28.60 Gb   -1236.64 Gb            52            --  
                                        aten::fft_rfftn         0.00%       2.216ms         3.18%        1.766s       6.791ms       0.000us         0.00%        2.768s      10.644ms           0 b           0 b      60.81 Gb     -56.09 Gb           260            --  
                                         aten::_fft_r2c         0.03%      14.927ms         2.31%        1.284s       4.940ms        2.501s         8.99%        2.501s       9.620ms           0 b           0 b      60.00 Gb    -119.67 Gb           260            --  
                                              aten::mul         0.04%      23.506ms         1.97%        1.093s       1.168ms       12.647s        45.47%       13.040s      13.931ms         -16 b         -16 b    1057.73 Gb    1027.47 Gb           936        48.421  
                                       aten::fft_irfftn         0.00%     922.000us         1.91%        1.061s       6.801ms       0.000us         0.00%        1.838s      11.785ms           0 b           0 b      29.45 Gb           0 b           156            --  
