training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
39,2.316720962524414,11.953125,108.6258016526699,0.9570159949362278,,,
79,2.214109420776367,20.546875,82.782809343189,1.1420714668929577,,,
119,2.118986129760742,26.5625,82.67493797466159,0.8671808056533337,,,
159,2.0348329544067383,34.0625,82.71580878645182,0.8361678570508957,,,
199,1.9471606016159058,40.46875,82.64977047219872,0.8310271427035332,,,
239,1.8737270832061768,44.53125,82.69878001883626,0.8614394813776016,,,
279,1.8001368045806885,48.90625,82.69219156354666,0.8614351041615009,,,
319,1.7380675077438354,55.703125,82.66550237312913,0.8625201880931854,,,
359,1.682115912437439,55.0,82.7033800072968,0.8388645946979523,,,
399,1.6271374225616455,58.28125,82.69303385168314,0.8863541297614574,,,
439,1.6043453216552734,58.203125,82.71543588489294,0.8182743564248085,,,
479,1.5426957607269287,57.5,82.68675534054637,0.8499613963067532,,,
519,1.4957808256149292,61.015625,82.69851645454764,0.8255472406744957,,,
559,1.4851858615875244,61.796875,82.68774226307869,0.8584695868194103,,,
599,1.4215134382247925,62.578125,82.69747719168663,0.8223684504628181,,,
639,1.410652995109558,62.8125,82.70435752347112,0.8334233425557613,,,
679,1.368083119392395,62.8125,82.71167790517211,0.8076424710452557,,,
719,1.3333107233047485,66.328125,82.68762156367302,0.8032585494220257,,,
759,1.309661626815796,66.015625,82.71227218210697,0.8219409734010696,,,
799,1.3243932723999023,63.28125,82.70964855328202,0.8134493604302406,,,
839,1.2952531576156616,65.78125,82.71589428186417,0.8161525242030621,,,
879,1.2661590576171875,68.125,82.6583401300013,0.6790039129555225,,,
919,1.197243094444275,70.390625,82.6459870673716,0.6462032906711102,,,
959,1.2243785858154297,67.734375,82.65748806297779,0.627395324409008,,,
999,1.1905027627944946,69.21875,82.63719156384468,0.6396922282874584,,,
1039,1.2087522745132446,66.484375,82.64890862628818,0.6378435529768467,,,
1079,1.173642873764038,67.65625,82.6368653215468,0.6499608978629112,,,
1119,1.1819539070129395,66.171875,82.62944743037224,0.6727657280862331,,,
1159,1.1508331298828125,69.140625,82.6332543976605,0.6591012701392174,,,
1199,1.1128883361816406,68.4375,82.68446018919349,0.7721330039203167,,,
1239,1.1309574842453003,68.671875,82.69851077347994,0.8097576908767223,,,
1279,1.0915278196334839,70.078125,82.67808938398957,0.7863570004701614,,,
1319,1.0863596200942993,70.234375,82.68961803987622,0.8594951592385769,,,
1359,1.1038740873336792,69.375,82.69372964277864,0.7591139525175095,,,
1399,1.0613101720809937,68.046875,82.63685256242752,0.6486485712230206,,,
1439,1.0561860799789429,69.296875,82.64775397256017,0.6896992214024067,,,
1479,1.054153323173523,71.09375,82.68905878067017,0.7475662976503372,,,
1519,1.0572375059127808,70.9375,82.69637320190668,0.8178554475307465,,,
1559,1.0597158670425415,69.609375,82.72074814885855,0.788886658847332,,,
1562,,,,,0.9823493361473083,72.18000030517578,74.50919177014227
1601,1.0036473274230957,71.640625,82.74182621389627,0.9583799168467522,,,
1641,0.9834817051887512,71.71875,82.72008094936609,0.9076147340238094,,,
1681,1.0170302391052246,71.71875,82.78140034526587,0.9796491824090481,,,
1721,0.9643957018852234,73.4375,82.75224985554814,0.8712301030755043,,,
1761,0.9612882733345032,73.515625,82.74635057896376,0.8793817833065987,,,
1801,0.9550508856773376,71.40625,82.75692649185658,0.9237608872354031,,,
1841,0.9760434031486511,71.09375,82.66642354428768,0.5313209258019924,,,
1881,1.005905032157898,69.0625,82.6978825032711,0.6836114451289177,,,
1921,0.9555336236953735,72.34375,82.70573429763317,0.83340248093009,,,
1961,0.9338966608047485,74.140625,82.70941572263837,0.7413751445710659,,,
2001,0.9763957858085632,70.15625,82.72751439362764,0.8387926034629345,,,
2041,0.984776496887207,70.9375,82.73769672960043,0.8359954692423344,,,
2081,0.9351866841316223,71.171875,82.73802902549505,0.8189165964722633,,,
