training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
19,0.10594921559095383,96.71875,1104.6495109796524,1914.879078604281,,,
39,0.0747574046254158,97.890625,981.6871106624603,1886.7356793954968,,,
59,0.06613392382860184,97.96875,981.8513700738549,1890.9811850637197,,,
79,0.056729406118392944,98.75,981.6320111975074,1893.736813031137,,,
99,0.044609103351831436,98.4375,981.7823242396116,1894.2134464159608,,,
119,0.051607806235551834,98.359375,982.0817053318024,1893.3094799518585,,,
139,0.053088556975126266,98.4375,981.8608269095421,1892.0088551938534,,,
159,0.04617111384868622,98.4375,981.5226696431637,1891.1487136036158,,,
179,0.0290397796779871,99.375,982.0027060806751,1889.3261078745127,,,
199,0.03515223413705826,98.90625,981.0063736513257,1887.8409076482058,,,
219,0.03824475035071373,98.90625,981.188122741878,1886.744638159871,,,
239,0.04206422343850136,98.828125,981.4664522185922,1890.9783858805895,,,
259,0.04451904818415642,98.984375,981.970939412713,1891.1841690540314,,,
279,0.030407503247261047,99.296875,981.0521017760038,1888.11462149024,,,
299,0.032618071883916855,98.984375,981.2070619314909,1887.584431655705,,,
319,0.028108099475502968,99.140625,980.9342926368117,1887.9923505708575,,,
339,0.02523207664489746,99.296875,980.879383161664,1886.3833265379071,,,
359,0.03232286125421524,98.984375,980.891009606421,1886.2539639696479,,,
379,0.028408879414200783,98.984375,981.5873632207513,1886.46584097296,,,
399,0.024860335513949394,99.375,981.7872080951929,1891.8658187612891,,,
419,0.04041010141372681,98.359375,981.5961083397269,1891.0202011466026,,,
439,0.02695106342434883,99.0625,982.4962148442864,1892.249414883554,,,
459,0.02789907157421112,98.90625,981.9823699072003,1893.7407923862338,,,
479,0.028430109843611717,99.0625,982.3536764830351,1892.0248709619045,,,
499,0.03224758431315422,98.828125,982.0783296599984,1894.0081058070064,,,
519,0.03302096948027611,99.140625,982.05133266747,1892.8508827462792,,,
539,0.03459919989109039,98.984375,981.2434101477265,1888.410514779389,,,
559,0.025744730606675148,99.375,981.0010185465217,1886.2845376133919,,,
579,0.02131619304418564,99.21875,981.5793154761195,1890.1118125766516,,,
599,0.025768039748072624,99.296875,980.9245709329844,1886.3632544875145,,,
619,0.017128244042396545,99.6875,981.7080715671182,1888.8202276080847,,,
639,0.03166784346103668,98.90625,981.1060283333063,1888.9533011242747,,,
659,0.032915882766246796,98.90625,981.0828104615211,1886.2902300432324,,,
679,0.031301919370889664,98.828125,980.9750879183412,1886.3139240071177,,,
699,0.03969334438443184,98.90625,982.2204785421491,1893.3687092736363,,,
719,0.030623961240053177,98.984375,982.2453897446394,1891.4426447823644,,,
739,0.021406296640634537,99.53125,981.8759743124247,1886.6961140185595,,,
759,0.027046149596571922,99.375,982.4218990281224,1892.1337919309735,,,
779,0.02280246838927269,99.296875,981.2314916402102,1886.6279516369104,,,
781,,,,,0.327678918838501,90.63999938964844,985.7563025727394
