training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
156,0.1966443806886673,93.94904327392578,3880.1538484871007,8262.68154565411,,,
313,0.16509892046451569,94.82484436035156,3871.69464575542,8263.098396574425,,,
470,0.18956196308135986,94.10828399658203,3871.8529942261566,8264.335792084597,,,
627,0.17452211678028107,94.26751708984375,3872.096560895443,8265.392588890472,,,
784,0.19227854907512665,93.86943054199219,3872.0328491774335,8265.248891772928,,,
941,0.16164356470108032,95.143310546875,3871.967949091819,8265.2149234845,,,
1098,0.1734725683927536,94.10828399658203,3872.077433000894,8265.048830182688,,,
1255,0.1591755747795105,94.10828399658203,3872.1361641481426,8265.375006635477,,,
1412,0.16975677013397217,95.0636978149414,3872.1257517719346,8265.07858609318,,,
1569,0.14500319957733154,95.30255126953125,3872.200548079363,8265.311693594715,,,
1726,0.1728164404630661,94.0286636352539,3872.465368360281,8265.368300543469,,,
1883,0.157709002494812,95.46178436279297,3872.6661468672146,8265.699996903633,,,
2040,0.14568746089935303,95.38216400146484,3871.952374341192,8265.135532755192,,,
2197,0.12759490311145782,95.93949127197266,3872.039393943017,8265.165957248515,,,
2354,0.13454608619213104,95.78025817871094,3872.182426060651,8265.325519475777,,,
2511,0.14681850373744965,95.0636978149414,3872.380936103072,8266.002767879492,,,
2668,0.14201848208904266,95.30255126953125,3872.145619409479,8265.637346157791,,,
2825,0.13572144508361816,96.09872436523438,3872.0757171132004,8265.884326782765,,,
2982,0.13950654864311218,95.70063781738281,3872.1136158913564,8262.730024612632,,,
3139,0.15779441595077515,94.58599090576172,3871.852088197591,8262.245724487837,,,
3296,0.10891640931367874,96.49681854248047,3871.9059568444254,8262.381249148944,,,
3453,0.12391847372055054,95.85987091064453,3871.777484513772,8262.235051104028,,,
3610,0.1473327875137329,94.98407745361328,3871.8876641267425,8262.145312087741,,,
3767,0.15885291993618011,94.42675018310547,3872.1140103212965,8264.697265662964,,,
3924,0.1249779760837555,96.01911163330078,3872.32816252549,8265.737073080745,,,
4081,0.1293233335018158,95.70063781738281,3871.999837244582,8262.730162092455,,,
4238,0.12655749917030334,96.01911163330078,3872.116025774532,8262.635902899086,,,
4395,0.13775882124900818,95.70063781738281,3871.892648612618,8262.412797659636,,,
4552,0.14513178169727325,95.30255126953125,3872.2344021176455,8262.935657766026,,,
4709,0.1338268220424652,96.01911163330078,3872.4452843711633,8266.36042434034,,,
4866,0.13012389838695526,95.46178436279297,3872.2547263998513,8265.867295443632,,,
5023,0.11873404681682587,96.09872436523438,3872.0084399839116,8263.032036791941,,,
5180,0.11733603477478027,96.41719818115234,3872.1109407770027,8262.556317837754,,,
5337,0.12065902352333069,96.01911163330078,3872.1106018942255,8262.599296678023,,,
5494,0.11812523752450943,95.85987091064453,3872.4443646041072,8262.784161622736,,,
5651,0.13387401401996613,95.78025817871094,3872.523940458989,8265.916052731169,,,
5808,0.11459610611200333,96.89490509033203,3872.392061267309,8265.874252126665,,,
5965,0.111861951649189,96.25796508789062,3872.472593620135,8263.626347040865,,,
6122,0.12403596192598343,96.09872436523438,3872.4810594965697,8263.285070800099,,,
6249,,,,,0.07637633383274078,97.52999877929688,3860.4255752325057
