training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
19,0.055015504360198975,98.59375,3574.282784201205,6532.972746901214,,,
39,0.06533017009496689,98.046875,3329.937164671719,6389.555590040982,,,
59,0.054612498730421066,98.59375,3329.9671351909637,6389.572501927614,,,
79,0.05691571161150932,97.890625,3330.033101886511,6389.555086754262,,,
99,0.046128835529088974,98.90625,3329.989549703896,6389.601645991206,,,
119,0.03866790607571602,98.90625,3329.92918305099,6389.560264721513,,,
139,0.04726911708712578,98.59375,3330.013709887862,6389.643296599388,,,
159,0.028051266446709633,99.53125,3330.0127709284425,6389.70931340009,,,
179,0.039929475635290146,98.984375,3330.0945341587067,6389.661396667361,,,
199,0.04510653764009476,98.90625,3329.985669068992,6389.748688600957,,,
219,0.03681747615337372,99.375,3330.0621328875422,6389.750184677541,,,
239,0.03351076692342758,99.0625,3330.078020878136,6389.73129875958,,,
259,0.03240421786904335,99.453125,3330.083711631596,6389.70515280962,,,
279,0.041188791394233704,98.359375,3330.100196786225,6389.733991399407,,,
299,0.03607281669974327,98.90625,3330.1023645326495,6389.827287197113,,,
319,0.04191054776310921,99.0625,3330.1205636933446,6389.775928109884,,,
339,0.032055359333753586,99.140625,3330.1394386217,6389.715638384223,,,
359,0.031876541674137115,98.984375,3330.1775308325887,6389.728112146258,,,
379,0.029282281175255775,99.296875,3330.0879871472716,6389.813398383558,,,
399,0.03567022085189819,99.140625,3330.125033482909,6389.8701732978225,,,
419,0.029063953086733818,99.296875,3330.1311001181602,6389.775177277625,,,
439,0.031797051429748535,99.140625,3330.121525749564,6389.797787368298,,,
459,0.030426044017076492,99.21875,3330.1352839916945,6389.818515069783,,,
479,0.035686396062374115,98.984375,3330.0892869010568,6389.751106500626,,,
499,0.027867672964930534,99.53125,3330.11290486902,6389.700787886977,,,
519,0.029597168788313866,99.21875,3330.17074521631,6389.672227576375,,,
539,0.02708178199827671,99.53125,3330.116650275886,6389.710230566561,,,
559,0.03440762683749199,98.828125,3330.124213732779,6389.686048775911,,,
579,0.03017456643283367,98.828125,3330.139984190464,6389.713266305625,,,
599,0.033861707895994186,98.984375,3330.1670372486115,6389.755393750966,,,
619,0.027768520638346672,99.53125,3330.108399502933,6389.816558919847,,,
639,0.028876392170786858,99.453125,3330.1258351653814,6389.890107698739,,,
659,0.024648506194353104,99.375,3330.1587970927358,6389.883823506534,,,
679,0.031955473124980927,99.140625,3330.2165450528264,6389.926329255104,,,
699,0.01904374733567238,99.84375,3330.205391533673,6389.905539527535,,,
719,0.03234712406992912,98.90625,3330.191863514483,6389.94027916342,,,
739,0.03178451582789421,99.140625,3330.2378254011273,6389.958029054105,,,
759,0.024365922436118126,99.53125,3330.2353201434016,6389.852535538375,,,
779,0.026297349482774734,99.21875,3330.2395472303033,6390.01035541296,,,
781,,,,,0.14689742028713226,95.04999542236328,3321.1235163413035
