training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
19,0.05501551181077957,98.59375,2413.1510090082884,4671.011194214225,,,
39,0.0653260350227356,98.046875,2400.8663019165397,4669.861431978643,,,
59,0.05460288003087044,98.59375,2400.982793048024,4669.938095845282,,,
79,0.056928809732198715,97.890625,2400.935659185052,4669.914861395955,,,
99,0.04613395407795906,98.90625,2400.99561791867,4669.9940552935,,,
119,0.038672756403684616,98.90625,2400.9222622960806,4669.693471863866,,,
139,0.047281570732593536,98.59375,2400.953850708902,4669.817399792373,,,
159,0.028050977736711502,99.53125,2400.995908677578,4669.765991345048,,,
179,0.039911456406116486,98.90625,2400.9881054982543,4669.8256358504295,,,
199,0.04513318091630936,98.90625,2400.9433014318347,4669.83182951808,,,
219,0.03680788353085518,99.375,2400.966952368617,4669.868178293109,,,
239,0.0335087887942791,99.0625,2400.9457416832447,4669.866557978094,,,
259,0.03241133317351341,99.453125,2400.909681804478,4669.877967424691,,,
279,0.04117824509739876,98.359375,2400.922176428139,4669.8223462328315,,,
299,0.036058563739061356,98.90625,2401.0030396282673,4669.834490120411,,,
319,0.041906725615262985,99.0625,2400.959233008325,4669.7837905958295,,,
339,0.03206581994891167,99.140625,2401.0845087468624,4670.123110711575,,,
359,0.03188561275601387,98.984375,2401.0654758661985,4669.925274327397,,,
379,0.029266629368066788,99.296875,2401.0686364024878,4670.065240003169,,,
399,0.03568771108984947,99.140625,2401.057117432356,4669.828186184168,,,
419,0.029073266312479973,99.296875,2400.980851985514,4669.78969629854,,,
439,0.0318031869828701,99.140625,2400.9519146755338,4669.778207316995,,,
459,0.03043266572058201,99.21875,2401.0258009657264,4669.757201708853,,,
479,0.03572758287191391,98.984375,2400.9545428678393,4669.770742021501,,,
499,0.027845442295074463,99.53125,2400.946638546884,4669.826407544315,,,
519,0.029599187895655632,99.21875,2400.9998563677073,4669.782560132444,,,
539,0.027095476165413857,99.53125,2400.9411161765456,4669.801943004131,,,
559,0.03443121910095215,98.828125,2400.952828489244,4669.842888601124,,,
579,0.030142081901431084,98.828125,2400.883412361145,4669.804825633764,,,
599,0.033824026584625244,98.984375,2400.969353504479,4669.777014665306,,,
619,0.027751103043556213,99.53125,2401.037340052426,4669.998241961002,,,
639,0.028861645609140396,99.453125,2401.0239819064736,4670.020439662039,,,
659,0.02462516538798809,99.375,2401.0311448946595,4669.967835210264,,,
679,0.03199530765414238,99.140625,2401.0136786848307,4669.943222217262,,,
699,0.019028231501579285,99.84375,2400.9535206481814,4669.8962066322565,,,
719,0.032318249344825745,98.90625,2400.941248424351,4669.883509352803,,,
739,0.0318455845117569,99.140625,2401.025540009141,4670.022927410901,,,
759,0.024414483457803726,99.453125,2400.9227303788066,4669.766424410045,,,
779,0.02627362124621868,99.296875,2400.8993541821837,4669.697943516076,,,
781,,,,,0.14701402187347412,95.04999542236328,2387.0518995793004
