[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     214.000us        51.48%       12.194s        3.049s       0.000us         0.00%        3.963s     990.659ms      73.52 Mb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.02%       4.253ms        48.45%       11.476s      54.134ms     198.888ms         1.70%     198.888ms     938.151us           0 b           0 b           0 b           0 b           212            --  
                                               aten::to         0.00%     195.000us        48.43%       11.471s     955.957ms       0.000us         0.00%     152.287ms      12.691ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     397.000us        48.43%       11.471s     955.941ms       0.000us         0.00%     152.287ms      12.691ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
                                        cudaMemcpyAsync        48.42%       11.470s        48.42%       11.470s     191.166ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     198.000us        48.26%       11.430s        2.858s       0.000us         0.00%     114.591ms      28.648ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      34.000us        48.26%       11.430s        2.858s       0.000us         0.00%     114.591ms      28.648ms     147.00 Mb           0 b           0 b           0 b             4            --  
                             Conv2dRFFTFunction Step#11        12.26%        2.904s        12.92%        3.060s        3.060s       0.000us         0.00%     991.116ms     991.116ms          -4 b     -36.77 Mb           0 b    -228.88 Mb             1            --  
                              Conv2dRFFTFunction Step#9        12.25%        2.902s        12.88%        3.050s        3.050s       0.000us         0.00%     990.705ms     990.705ms          -4 b     -36.77 Mb           0 b    -228.88 Mb             1            --  
                             Conv2dRFFTFunction Step#10        12.26%        2.905s        12.84%        3.043s        3.043s       0.000us         0.00%     990.051ms     990.051ms          -4 b     -36.77 Mb           0 b    -228.21 Mb             1            --  
                              Conv2dRFFTFunction Step#8        12.25%        2.902s        12.84%        3.041s        3.041s       0.000us         0.00%     990.762ms     990.762ms      73.52 Mb      36.75 Mb           0 b    -228.21 Mb             1            --  
                                            aten::randn         0.00%     152.000us         2.13%     503.772ms      62.971ms       0.000us         0.00%       0.000us       0.000us     147.10 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         2.12%     503.318ms         2.12%     503.318ms      62.915ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%     322.000us         0.21%      49.243ms       3.078ms       0.000us         0.00%        7.529s     470.568ms           0 b           0 b     875.55 Mb    -363.16 Mb            16            --  
                             Conv2dRFFTFunctionBackward         0.03%       6.990ms         0.21%      48.921ms       3.058ms       0.000us         0.00%        7.529s     470.568ms           0 b           0 b       1.21 Gb    -663.19 Gb            16            --  
                                     Conv2dRFFTFunction         0.02%       4.426ms         0.12%      29.260ms       1.829ms       0.000us         0.00%        3.897s     243.591ms           0 b           0 b     285.91 Mb    -332.28 Gb            16            --  
                                       cudaLaunchKernel         0.11%      26.677ms         0.11%      26.677ms      11.247us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2372            --  
                                        aten::fft_rfftn         0.00%     640.000us         0.07%      16.217ms     202.713us       0.000us         0.00%     125.401ms       1.568ms           0 b           0 b       2.95 Gb      -2.31 Gb            80            --  
