[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     113.000us        60.27%       23.648s        5.912s       0.000us         0.00%        8.379s        2.095s       4.60 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        41.23%       16.178s        41.23%       16.178s     396.011us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         40852            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.01%       4.319ms        21.10%        8.277s      17.389ms       0.000us         0.00%       15.125s      31.775ms           0 b           0 b      24.84 Gb    -381.88 Mb           476            --  
                             Conv2dRFFTFunctionBackward         0.27%     106.858ms        21.09%        8.273s      17.380ms       0.000us         0.00%       15.125s      31.775ms           0 b           0 b      25.21 Gb   -1109.86 Gb           476            --  
                                            aten::copy_         0.11%      42.658ms        19.12%        7.503s       1.369ms     644.774ms         2.73%     644.774ms     117.659us           0 b           0 b           0 b           0 b          5480            --  
                                     Conv2dRFFTFunction         0.17%      66.664ms        16.61%        6.516s      13.688ms       0.000us         0.00%        8.346s      17.533ms           0 b           0 b     387.62 Mb    -555.59 Gb           476            --  
                                        cudaMemcpyAsync        16.47%        6.461s        16.47%        6.461s       3.324ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1944            --  
                              Conv2dRFFTFunction Step#9         9.97%        3.914s        15.07%        5.912s        5.912s       0.000us         0.00%        2.094s        2.094s          -4 b      -2.30 Mb           0 b    -529.89 Mb             1            --  
                             Conv2dRFFTFunction Step#10         9.97%        3.913s        15.07%        5.912s        5.912s       0.000us         0.00%        2.095s        2.095s          -4 b      -2.30 Mb           0 b    -528.83 Mb             1            --  
                             Conv2dRFFTFunction Step#11         9.97%        3.913s        15.07%        5.912s        5.912s       0.000us         0.00%        2.095s        2.095s          -4 b      -2.30 Mb           0 b    -529.89 Mb             1            --  
                              Conv2dRFFTFunction Step#8         9.97%        3.913s        15.07%        5.911s        5.911s       0.000us         0.00%        2.095s        2.095s       4.60 Mb       2.30 Mb           0 b    -528.83 Mb             1            --  
                                               aten::to         0.00%      64.000us        13.38%        5.249s     328.047ms       0.000us         0.00%       4.189ms     261.812us       9.19 Mb           0 b       9.20 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     131.000us        13.38%        5.249s     437.390ms       0.000us         0.00%       4.189ms     349.083us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     626.000us        13.37%        5.247s        1.312s       0.000us         0.00%       2.945ms     736.250us       9.19 Mb           0 b      -9.19 Mb      -9.19 Mb             4            --  
                                        ToCopyBackward0         0.00%      14.000us        13.37%        5.246s        1.312s       0.000us         0.00%       2.945ms     736.250us       9.19 Mb           0 b           0 b           0 b             4            --  
                                       aten::fft_irfftn         0.01%       4.178ms        12.21%        4.789s       3.353ms       0.000us         0.00%        1.661s       1.163ms           0 b           0 b      25.59 Gb           0 b          1428            --  
                                         aten::_fft_c2r         0.14%      53.022ms        12.19%        4.785s       3.350ms        1.204s         5.11%        1.661s       1.163ms           0 b           0 b      25.59 Gb     -79.75 Gb          1428            --  
                                              aten::mul         0.25%      97.042ms         9.99%        3.921s     457.624us       10.444s        44.30%       10.793s       1.260ms      -2.48 Kb      -2.48 Kb     948.45 Gb     921.70 Gb          8568     43706.337  
                                        aten::fft_rfftn         0.02%       9.735ms         8.82%        3.462s       1.454ms       0.000us         0.00%        2.135s     896.911us           0 b           0 b      55.07 Gb     -37.24 Gb          2380            --  
                                         aten::_fft_r2c         0.18%      72.469ms         7.01%        2.749s       1.155ms        1.903s         8.07%        1.903s     799.471us           0 b           0 b      43.61 Gb    -115.67 Gb          2380            --  
                                              aten::add         0.11%      43.352ms         5.40%        2.120s     424.435us        5.547s        23.53%        5.547s       1.110ms           0 b           0 b     474.75 Gb     474.75 Gb          4996     85007.815  
                                            aten::clone         0.03%      12.251ms         4.39%        1.721s     450.568us       0.000us         0.00%     597.645ms     156.452us           0 b           0 b      55.75 Gb           0 b          3820            --  
                                  aten::constant_pad_nd         0.04%      17.129ms         4.04%        1.585s     741.909us       0.000us         0.00%     250.948ms     117.485us           0 b           0 b      50.55 Gb           0 b          2136            --  
      autograd::engine::evaluate_function: CatBackward0         0.03%      11.888ms         2.56%        1.005s       4.053ms       0.000us         0.00%      10.411ms      41.980us           0 b           0 b    -558.78 Mb      -1.07 Gb           248            --  
                                             aten::add_         0.04%      15.185ms         2.50%     981.535ms     505.946us      12.125ms         0.05%      12.125ms       6.250us          -8 b          -8 b      -6.50 Kb      -6.50 Kb          1940            --  
                                              aten::pad         0.01%       2.564ms         2.25%     884.605ms     929.207us       0.000us         0.00%      19.042ms      20.002us           0 b           0 b       1.85 Gb           0 b           952            --  
                                             aten::mul_         0.02%       9.431ms         2.22%     872.763ms     611.179us       0.000us         0.00%     218.982ms     153.349us           0 b       2.48 Kb           0 b           0 b          1428            --  
                                              aten::sum         0.06%      24.479ms         1.92%     752.020ms     525.154us        1.476s         6.26%        1.476s       1.031ms           0 b           0 b      27.77 Gb      27.77 Gb          1432            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.217ms         1.56%     612.151ms     419.282us       0.000us         0.00%      10.986ms       7.525us           0 b           0 b     -24.29 Gb           0 b          1460            --  
                        torch::autograd::AccumulateGrad         0.02%       5.978ms         1.55%     606.934ms     415.708us       0.000us         0.00%      10.986ms       7.525us           0 b           0 b     -24.29 Gb     -24.29 Gb          1460            --  
                                            aten::fill_         0.03%       9.914ms         1.41%     554.566ms     335.694us     197.591ms         0.84%     197.591ms     119.607us           0 b           0 b           0 b           0 b          1652            --  
                                              aten::sub         0.03%      13.396ms         1.14%     447.798ms     313.584us        2.069s         8.78%        2.069s       1.449ms           0 b           0 b     158.08 Gb     158.08 Gb          1428            --  
                                       aten::batch_norm         0.00%       1.122ms         1.12%     440.259ms     909.626us       0.000us         0.00%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.00%       1.553ms         1.12%     439.137ms     907.308us       0.000us         0.00%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.04%      15.841ms         1.12%     437.584ms     904.099us      14.843ms         0.06%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                                            aten::relu_         0.01%       3.939ms         0.84%     329.372ms     680.521us       0.000us         0.00%       6.247ms      12.907us           0 b           0 b           0 b           0 b           484            --  
                                       aten::clamp_min_         0.01%       3.803ms         0.83%     325.433ms     672.382us       6.247ms         0.03%       6.247ms      12.907us           0 b           0 b           0 b           0 b           484            --  
                                              aten::cat         0.01%       5.453ms         0.74%     290.248ms       1.170ms       8.435ms         0.04%       8.435ms      34.012us           0 b           0 b     649.94 Mb     649.94 Mb           248            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       4.975ms         0.56%     218.472ms     451.388us       0.000us         0.00%      18.554ms      38.335us           0 b           0 b    -995.63 Mb      -1.92 Gb           484            --  
                                CudnnBatchNormBackward0         0.01%       2.034ms         0.54%     213.497ms     441.110us       0.000us         0.00%      18.554ms      38.335us           0 b           0 b     968.71 Mb           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.03%      11.478ms         0.54%     211.463ms     436.907us      18.554ms         0.08%      18.554ms      38.335us           0 b           0 b     968.71 Mb           0 b           484            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%       3.433ms         0.47%     184.884ms     381.992us       0.000us         0.00%      12.586ms      26.004us           0 b           0 b    -971.58 Mb      -1.92 Gb           484            --  
                                          ReluBackward0         0.01%       2.063ms         0.46%     181.451ms     374.899us       0.000us         0.00%      12.586ms      26.004us           0 b           0 b     997.40 Mb           0 b           484            --  
                               aten::threshold_backward         0.02%       6.065ms         0.46%     179.388ms     370.636us      12.586ms         0.05%      12.586ms      26.004us           0 b           0 b     997.40 Mb     997.40 Mb           484            --  
                                            aten::empty         0.17%      66.192ms         0.17%      66.192ms       4.387us       0.000us         0.00%       0.000us       0.000us       9.20 Mb       9.20 Mb     321.15 Gb     321.15 Gb         15088            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      27.000us         0.10%      37.876ms       9.469ms       0.000us         0.00%      13.145ms       3.286ms           0 b           0 b     -39.67 Mb     -49.00 Mb             4            --  
                                   ConvolutionBackward0         0.00%      32.000us         0.10%      37.849ms       9.462ms       0.000us         0.00%      13.145ms       3.286ms           0 b           0 b       9.33 Mb           0 b             4            --  
