[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing EfficientNetB3_CIFAR100_Conv2dRFFTFunction_date-20240210-170328.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     305.000us        55.33%       24.026s        6.006s       0.000us         0.00%        7.834s        1.958s       9.19 Mb        -544 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        43.12%       18.722s        43.12%       18.722s     595.552us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         31436            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.02%       7.065ms        33.06%       14.356s      34.845ms       0.000us         0.00%       15.904s      38.603ms           0 b           0 b      12.07 Gb      -1.77 Gb           412            --  
                             Conv2dRFFTFunctionBackward         0.22%      96.208ms        33.00%       14.328s      34.776ms       0.000us         0.00%       15.903s      38.601ms           0 b           0 b      13.77 Gb   -1199.03 Gb           412            --  
                             Conv2dRFFTFunction Step#11        11.21%        4.869s        13.83%        6.007s        6.007s       0.000us         0.00%        1.958s        1.958s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                             Conv2dRFFTFunction Step#10        11.21%        4.868s        13.83%        6.007s        6.007s       0.000us         0.00%        1.959s        1.959s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                              Conv2dRFFTFunction Step#9        11.21%        4.868s        13.83%        6.006s        6.006s       0.000us         0.00%        1.958s        1.958s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                              Conv2dRFFTFunction Step#8        11.21%        4.867s        13.83%        6.005s        6.005s       0.000us         0.00%        1.959s        1.959s       9.19 Mb       4.59 Mb           0 b      -1.31 Gb             1            --  
                                       aten::fft_irfftn         0.01%       3.579ms        13.70%        5.948s       4.812ms       0.000us         0.00%        1.592s       1.288ms           0 b           0 b      14.68 Gb           0 b          1236            --  
                                         aten::_fft_c2r         0.10%      41.931ms        13.69%        5.944s       4.809ms        1.326s         5.54%        1.592s       1.288ms           0 b           0 b      14.68 Gb     -54.73 Gb          1236            --  
                                            aten::copy_         0.07%      30.835ms        12.85%        5.581s       1.252ms     436.461ms         1.82%     436.461ms      97.949us           0 b           0 b           0 b           0 b          4456            --  
                                              aten::mul         0.20%      88.594ms        11.30%        4.907s     675.865us       10.795s        45.10%       10.999s       1.515ms        -952 b        -952 b    1051.96 Gb    1036.30 Gb          7260     48679.502  
                                        cudaMemcpyAsync        10.20%        4.431s        10.20%        4.431s       1.846ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2400            --  
                                        aten::fft_rfftn         0.02%       6.670ms         9.30%        4.039s       1.961ms       0.000us         0.00%        1.186s     575.901us           0 b           0 b      31.69 Gb     -17.19 Gb          2060            --  
                                     Conv2dRFFTFunction         0.14%      58.818ms         8.19%        3.556s       8.630ms       0.000us         0.00%        7.748s      18.805ms           0 b           0 b     932.10 Mb    -600.38 Gb           412            --  
                                         aten::_fft_r2c         0.12%      53.237ms         7.79%        3.382s       1.642ms        1.027s         4.29%        1.027s     498.597us           0 b           0 b      22.83 Gb     -68.29 Gb          2060            --  
                                               aten::to         0.00%     173.000us         7.08%        3.074s      25.621ms       0.000us         0.00%      11.759ms      97.992us      18.38 Mb           0 b      18.39 Mb           0 b           120            --  
                                         aten::_to_copy         0.00%     193.000us         7.08%        3.074s     256.192ms       0.000us         0.00%      11.759ms     979.917us      18.38 Mb           0 b      18.39 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     117.000us         7.07%        3.070s     767.472ms       0.000us         0.00%       8.652ms       2.163ms      18.38 Mb           0 b     -18.38 Mb     -18.38 Mb             4            --  
                                        ToCopyBackward0         0.00%      31.000us         7.07%        3.070s     767.443ms       0.000us         0.00%       8.652ms       2.163ms      18.38 Mb           0 b           0 b           0 b             4            --  
                                            aten::clone         0.03%      14.255ms         5.17%        2.246s     558.274us       0.000us         0.00%     370.257ms      92.012us           0 b           0 b      34.81 Gb           0 b          4024            --  
                                              aten::add         0.06%      26.575ms         3.63%        1.578s     551.670us        6.135s        25.63%        6.135s       2.145ms           0 b           0 b     525.66 Gb     525.66 Gb          2860     94123.330  
                                  aten::constant_pad_nd         0.01%       5.915ms         2.70%        1.171s     950.298us       0.000us         0.00%     172.166ms     139.745us           0 b           0 b      27.48 Gb           0 b          1232            --  
                                             aten::add_         0.03%      13.256ms         2.33%        1.013s     579.741us      13.667ms         0.06%      13.667ms       7.819us           0 b           0 b      -4.50 Kb      -4.50 Kb          1748            --  
                                              aten::sum         0.07%      29.778ms         2.28%     990.606ms     638.277us        1.595s         6.66%        1.595s       1.028ms           0 b           0 b      16.28 Gb      16.28 Gb          1552            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.263ms         2.02%     877.932ms     643.645us       0.000us         0.00%      11.881ms       8.710us           0 b           0 b     -13.06 Gb           0 b          1364            --  
                        torch::autograd::AccumulateGrad         0.01%       6.060ms         2.01%     872.669ms     639.787us       0.000us         0.00%      11.881ms       8.710us           0 b           0 b     -13.06 Gb     -13.06 Gb          1364            --  
                                              aten::sub         0.03%      11.867ms         1.31%     569.828ms     461.026us        2.289s         9.56%        2.289s       1.852ms           0 b           0 b     174.99 Gb     174.99 Gb          1236            --  
                                              aten::pad         0.01%       2.176ms         1.20%     522.740ms     634.393us       0.000us         0.00%      12.920ms      15.680us           0 b           0 b       1.43 Gb           0 b           824            --  
                                             aten::mul_         0.01%       4.203ms         0.98%     427.128ms     693.390us       6.000us         0.00%     125.854ms     204.308us           0 b         952 b           0 b           0 b           616            --  
                                            aten::fill_         0.01%       2.730ms         0.78%     339.362ms     823.694us     104.821ms         0.44%     104.821ms     254.420us           0 b           0 b           0 b           0 b           412            --  
      autograd::engine::evaluate_function: MulBackward0         0.01%       3.853ms         0.78%     337.348ms       1.874ms       0.000us         0.00%      17.758ms      98.656us           0 b           0 b    -488.28 Mb      -1.71 Gb           180            --  
                                            aten::silu_         0.01%       3.472ms         0.61%     264.136ms     846.590us      12.413ms         0.05%      24.470ms      78.429us           0 b           0 b       1.39 Gb           0 b           312            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.374ms         0.56%     241.062ms     772.635us       0.000us         0.00%      32.622ms     104.558us           0 b           0 b      -1.58 Gb      -3.14 Gb           312            --  
                                           MulBackward0         0.00%       1.390ms         0.55%     237.595ms       1.291ms       0.000us         0.00%      13.850ms      75.272us           0 b           0 b       1.30 Gb           0 b           184            --  
                                CudnnBatchNormBackward0         0.01%       2.540ms         0.54%     235.688ms     755.410us       0.000us         0.00%      32.622ms     104.558us           0 b           0 b       1.56 Gb           0 b           312            --  
                        aten::cudnn_batch_norm_backward         0.02%       7.489ms         0.54%     233.148ms     747.269us      32.622ms         0.14%      32.622ms     104.558us           0 b           0 b       1.56 Gb           0 b           312            --  
     autograd::engine::evaluate_function: SiluBackward0         0.01%       3.196ms         0.40%     171.545ms     549.824us       0.000us         0.00%      18.928ms      60.667us           0 b           0 b      -1.37 Gb      -2.79 Gb           312            --  
                                       aten::batch_norm         0.00%     691.000us         0.39%     170.272ms     545.744us       0.000us         0.00%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                           aten::_batch_norm_impl_index         0.00%     914.000us         0.39%     169.581ms     543.529us       0.000us         0.00%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                                 aten::cudnn_batch_norm         0.02%      10.225ms         0.39%     168.667ms     540.599us      22.960ms         0.10%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                                          SiluBackward0         0.00%       1.154ms         0.39%     168.349ms     539.580us       0.000us         0.00%      18.928ms      60.667us           0 b           0 b       1.42 Gb           0 b           312            --  
                                    aten::silu_backward         0.01%       3.349ms         0.39%     167.195ms     535.881us      18.928ms         0.08%      18.928ms      60.667us           0 b           0 b       1.42 Gb       1.42 Gb           312            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.298ms         0.34%     146.641ms       1.358ms       0.000us         0.00%      95.445ms     883.750us           0 b           0 b    -703.20 Mb      -1.58 Gb           108            --  
                                   ConvolutionBackward0         0.00%     991.000us         0.31%     136.357ms       1.263ms       0.000us         0.00%      94.970ms     879.352us           0 b           0 b     877.24 Mb           0 b           108            --  
                             aten::convolution_backward         0.01%       4.103ms         0.31%     135.366ms       1.253ms      94.970ms         0.40%      94.970ms     879.352us           0 b           0 b     877.24 Mb       1.69 Mb           108            --  
                                          aten::sigmoid         0.00%       1.589ms         0.26%     114.221ms       1.098ms     319.000us         0.00%     319.000us       3.067us           0 b           0 b       2.35 Mb       2.35 Mb           104            --  
