[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR100_Conv2dRFFTFunction_date-20240210-170631.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     246.000us        53.49%       47.985s       11.996s       0.000us         0.00%       14.324s        3.581s      16.37 Mb        -808 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        43.16%       38.717s        43.16%       38.717s       1.548ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         25016            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%       3.734ms        30.76%       27.591s     125.414ms       0.000us         0.00%       33.171s     150.775ms           0 b           0 b      22.02 Gb      -2.98 Gb           220            --  
                             Conv2dRFFTFunctionBackward         0.06%      56.684ms        30.51%       27.372s     124.420ms       0.000us         0.00%       33.160s     150.726ms           0 b           0 b      24.18 Gb   -2029.19 Gb           220            --  
                                       aten::fft_irfftn         0.00%       2.166ms        14.78%       13.258s      19.848ms       0.000us         0.00%        7.492s      11.215ms           0 b           0 b      25.01 Gb           0 b           668            --  
                                         aten::_fft_c2r         0.04%      32.099ms        14.78%       13.256s      19.844ms        7.043s        14.72%        7.492s      11.215ms           0 b           0 b      25.01 Gb    -289.26 Gb           668            --  
                              Conv2dRFFTFunction Step#9        11.65%       10.448s        13.37%       11.997s       11.997s       0.000us         0.00%        3.581s        3.581s          -4 b      -8.19 Mb           0 b    -937.66 Mb             1            --  
                             Conv2dRFFTFunction Step#10        11.64%       10.445s        13.37%       11.996s       11.996s       0.000us         0.00%        3.581s        3.581s          -4 b      -8.19 Mb           0 b    -936.13 Mb             1            --  
                              Conv2dRFFTFunction Step#8        11.64%       10.445s        13.37%       11.996s       11.996s       0.000us         0.00%        3.581s        3.581s      16.37 Mb       8.18 Mb           0 b    -936.13 Mb             1            --  
                             Conv2dRFFTFunction Step#11        11.64%       10.446s        13.37%       11.995s       11.995s       0.000us         0.00%        3.581s        3.581s          -4 b      -8.19 Mb           0 b    -937.66 Mb             1            --  
                                            aten::copy_         0.02%      20.760ms        11.19%       10.038s       3.826ms     681.399ms         1.42%     681.399ms     259.679us           0 b           0 b           0 b           0 b          2624            --  
                                        cudaMemcpyAsync         9.20%        8.255s         9.20%        8.255s       7.968ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1036            --  
                                              aten::mul         0.06%      49.393ms         7.82%        7.019s       1.741ms       20.545s        42.94%       20.878s       5.178ms        -872 b        -872 b    1779.22 Gb    1753.56 Gb          4032     81691.023  
                                        aten::fft_rfftn         0.01%       4.746ms         7.71%        6.918s       6.199ms       0.000us         0.00%        2.233s       2.001ms           0 b           0 b      53.35 Gb     -33.66 Gb          1116            --  
                                               aten::to         0.00%     135.000us         6.98%        6.265s     391.547ms       0.000us         0.00%      22.980ms       1.436ms      32.74 Mb           0 b      32.75 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     213.000us         6.98%        6.265s     522.051ms       0.000us         0.00%      22.980ms       1.915ms      32.74 Mb           0 b      32.75 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     120.000us         6.98%        6.257s        1.564s       0.000us         0.00%      17.123ms       4.281ms      32.74 Mb           0 b     -32.74 Mb     -32.74 Mb             4            --  
                                        ToCopyBackward0         0.00%      38.000us         6.98%        6.257s        1.564s       0.000us         0.00%      17.123ms       4.281ms      32.74 Mb           0 b           0 b           0 b             4            --  
                                         aten::_fft_r2c         0.04%      37.838ms         5.99%        5.369s       4.811ms        1.985s         4.15%        1.985s       1.778ms           0 b           0 b      40.98 Gb    -114.49 Gb          1116            --  
                                     Conv2dRFFTFunction         0.04%      32.713ms         5.04%        4.518s      19.817ms       0.000us         0.00%       14.246s      62.482ms           0 b           0 b     857.74 Mb   -1019.35 Gb           228            --  
                                             aten::add_         0.01%      12.024ms         3.84%        3.446s       2.267ms      15.080ms         0.03%      15.080ms       9.921us         -24 b         -24 b      -1.00 Kb      -1.00 Kb          1520            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.385ms         3.39%        3.045s       2.671ms       0.000us         0.00%      14.322ms      12.563us           0 b           0 b     -22.89 Gb           0 b          1140            --  
                        torch::autograd::AccumulateGrad         0.01%       5.236ms         3.39%        3.039s       2.666ms       0.000us         0.00%      14.322ms      12.563us           0 b           0 b     -22.89 Gb     -22.89 Gb          1140            --  
                                            aten::clone         0.01%       6.977ms         3.25%        2.915s       1.472ms       0.000us         0.00%     593.133ms     299.562us           0 b           0 b      55.68 Gb           0 b          1980            --  
                                              aten::add         0.02%      14.383ms         2.95%        2.644s       1.767ms       10.397s        21.73%       10.397s       6.950ms           0 b           0 b     890.54 Gb     890.54 Gb          1496    159450.029  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.736ms         2.86%        2.569s      16.470ms       0.000us         0.00%     259.880ms       1.666ms           0 b           0 b      28.24 Mb    -476.38 Mb           156            --  
                                   ConvolutionBackward0         0.00%       1.062ms         2.86%        2.562s      16.421ms       0.000us         0.00%     259.178ms       1.661ms           0 b           0 b     449.56 Mb           0 b           156            --  
                             aten::convolution_backward         0.26%     237.164ms         2.85%        2.561s      16.414ms     259.178ms         0.54%     259.178ms       1.661ms           0 b           0 b     449.56 Mb     -34.81 Gb           156            --  
                                  aten::constant_pad_nd         0.01%       7.081ms         2.54%        2.283s       2.398ms       0.000us         0.00%     276.077ms     289.997us           0 b           0 b      48.91 Gb           0 b           952            --  
                                              aten::sum         0.01%      12.214ms         1.60%        1.438s       2.140ms        2.727s         5.70%        2.727s       4.057ms           0 b           0 b      27.07 Gb      27.07 Gb           672            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%       3.004ms         1.20%        1.081s       2.874ms       0.000us         0.00%      14.130ms      37.580us           0 b           0 b      -1.12 Gb      -2.22 Gb           376            --  
                                          ReluBackward0         0.00%       1.841ms         1.20%        1.078s       2.866ms       0.000us         0.00%      14.130ms      37.580us           0 b           0 b       1.10 Gb           0 b           376            --  
                               aten::threshold_backward         0.01%       5.245ms         1.20%        1.076s       2.861ms      14.130ms         0.03%      14.130ms      37.580us           0 b           0 b       1.10 Gb       1.10 Gb           376            --  
                                             aten::mul_         0.01%       4.760ms         1.14%        1.019s       1.526ms       0.000us         0.00%     215.943ms     323.268us           0 b         872 b           0 b           0 b           668            --  
                                              aten::sub         0.01%       6.760ms         1.12%        1.004s       1.503ms        3.881s         8.11%        3.881s       5.810ms           0 b           0 b     296.53 Gb     296.53 Gb           668            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.735ms         1.08%     969.549ms       2.579ms       0.000us         0.00%      23.823ms      63.359us           0 b           0 b      -1.10 Gb      -2.19 Gb           376            --  
                                CudnnBatchNormBackward0         0.00%       3.147ms         1.07%     963.814ms       2.563ms       0.000us         0.00%      23.823ms      63.359us           0 b           0 b       1.09 Gb           0 b           376            --  
                        aten::cudnn_batch_norm_backward         0.01%       9.387ms         1.07%     960.667ms       2.555ms      23.823ms         0.05%      23.823ms      63.359us           0 b           0 b       1.09 Gb           0 b           376            --  
                                            aten::fill_         0.00%       4.405ms         0.93%     838.082ms       1.293ms     192.060ms         0.40%     192.060ms     296.389us           0 b           0 b           0 b           0 b           648            --  
                                              aten::pad         0.00%       1.160ms         0.82%     739.627ms       1.651ms       0.000us         0.00%      27.985ms      62.467us           0 b           0 b       2.88 Gb           0 b           448            --  
                                           aten::conv2d         0.00%     541.000us         0.55%     492.020ms       3.154ms       0.000us         0.00%      30.242ms     193.859us           0 b           0 b     293.21 Mb           0 b           156    134747.855  
                                      aten::convolution         0.00%       1.273ms         0.55%     491.479ms       3.151ms       0.000us         0.00%      30.242ms     193.859us           0 b           0 b     293.21 Mb           0 b           156            --  
                                     aten::_convolution         0.00%     814.000us         0.55%     490.206ms       3.142ms       0.000us         0.00%      30.242ms     193.859us           0 b           0 b     293.21 Mb           0 b           156            --  
                                aten::cudnn_convolution         0.17%     154.443ms         0.55%     489.392ms       3.137ms      30.242ms         0.06%      30.242ms     193.859us           0 b           0 b     293.21 Mb    -569.36 Mb           156            --  
                                       aten::batch_norm         0.00%     786.000us         0.35%     312.526ms     813.870us       0.000us         0.00%      19.818ms      51.609us           0 b           0 b       1.59 Gb           0 b           384            --  
                           aten::_batch_norm_impl_index         0.00%       1.315ms         0.35%     311.740ms     811.823us       0.000us         0.00%      19.818ms      51.609us           0 b           0 b       1.59 Gb           0 b           384            --  
                                 aten::cudnn_batch_norm         0.01%      12.305ms         0.34%     303.487ms     790.331us      15.268ms         0.03%      15.268ms      39.760us           0 b           0 b       1.09 Gb           0 b           384            --  
                                            aten::relu_         0.00%       3.000ms         0.33%     296.508ms     772.156us       0.000us         0.00%       6.419ms      16.716us           0 b           0 b           0 b           0 b           384            --  
