[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     350.000us        50.28%       39.447s        9.862s       0.000us         0.00%       13.351s        3.338s      73.52 Mb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.01%       6.441ms        31.34%       24.592s      35.745ms     308.271ms         0.79%     308.271ms     448.068us           0 b           0 b           0 b           0 b           688            --  
                                        cudaMemcpyAsync        29.83%       23.407s        29.83%       23.407s     139.330ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%     120.000us        29.34%       23.022s        1.439s       0.000us         0.00%     116.384ms       7.274ms     147.00 Mb           0 b     147.10 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     209.000us        29.34%       23.022s        1.919s       0.000us         0.00%     116.384ms       9.699ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     118.000us        29.30%       22.990s        5.747s       0.000us         0.00%      85.406ms      21.352ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      16.000us        29.30%       22.989s        5.747s       0.000us         0.00%      85.406ms      21.352ms     147.00 Mb           0 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        19.83%       15.556s        19.83%       15.556s       2.323ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6696            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%     869.000us        17.20%       13.495s     259.520ms       0.000us         0.00%       25.468s     489.768ms           0 b           0 b       2.56 Gb      -2.63 Gb            52            --  
                             Conv2dRFFTFunctionBackward         0.02%      16.317ms        17.03%       13.362s     256.965ms       0.000us         0.00%       25.460s     489.620ms           0 b           0 b       4.64 Gb   -2221.75 Gb            52            --  
                              Conv2dRFFTFunction Step#9        12.44%        9.762s        12.57%        9.862s        9.862s       0.000us         0.00%        3.337s        3.337s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                             Conv2dRFFTFunction Step#10        12.44%        9.764s        12.57%        9.862s        9.862s       0.000us         0.00%        3.338s        3.338s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                             Conv2dRFFTFunction Step#11        12.44%        9.764s        12.57%        9.861s        9.861s       0.000us         0.00%        3.338s        3.338s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                              Conv2dRFFTFunction Step#8        12.44%        9.763s        12.57%        9.861s        9.861s       0.000us         0.00%        3.338s        3.338s      73.52 Mb      36.75 Mb           0 b      -1.73 Gb             1            --  
                                              aten::mul         0.02%      16.597ms         5.14%        4.030s       4.306ms       18.830s        48.12%       18.895s      20.187ms        -208 b        -208 b    1987.88 Gb    1982.87 Gb           936     91422.720  
                                        aten::fft_rfftn         0.00%       1.423ms         4.05%        3.178s      12.222ms       0.000us         0.00%     461.638ms       1.776ms           0 b           0 b      11.54 Gb      -5.68 Gb           260            --  
                                       aten::fft_irfftn         0.00%     544.000us         3.73%        2.923s      18.737ms       0.000us         0.00%     502.972ms       3.224ms           0 b           0 b       6.11 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.01%       7.930ms         3.72%        2.922s      18.733ms     394.135ms         1.01%     502.972ms       3.224ms           0 b           0 b       6.11 Gb     -21.20 Gb           156            --  
                                         aten::_fft_r2c         0.01%       9.327ms         2.68%        2.103s       8.087ms     402.466ms         1.03%     402.466ms       1.548ms           0 b           0 b       9.39 Gb     -24.24 Gb           260            --  
                                              aten::add         0.01%       5.429ms         2.47%        1.936s       5.628ms       11.589s        29.62%       11.589s      33.689ms           0 b           0 b     994.82 Gb     994.82 Gb           344    178109.678  
                                  aten::constant_pad_nd         0.00%       3.232ms         2.13%        1.675s       6.443ms       0.000us         0.00%     101.974ms     392.208us           0 b           0 b      10.74 Gb           0 b           260            --  
                                              aten::sum         0.01%       5.342ms         1.49%        1.167s       7.292ms        2.920s         7.46%        2.920s      18.253ms           0 b           0 b       6.54 Gb       6.54 Gb           160            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.318ms         1.46%        1.143s       4.536ms       0.000us         0.00%       4.497ms      17.845us           0 b           0 b      -3.21 Gb           0 b           252            --  
                                             aten::add_         0.00%       3.462ms         1.46%        1.142s       3.173ms      14.094ms         0.04%      14.094ms      39.150us           0 b           0 b           0 b           0 b           360            --  
                        torch::autograd::AccumulateGrad         0.00%       1.419ms         1.46%        1.142s       4.531ms       0.000us         0.00%       4.497ms      17.845us           0 b           0 b      -3.21 Gb      -3.21 Gb           252            --  
                                            aten::fill_         0.00%       1.897ms         1.15%     905.990ms       3.432ms      46.070ms         0.12%      46.070ms     174.508us           0 b           0 b           0 b           0 b           264            --  
                                            aten::clone         0.00%       1.831ms         1.04%     814.461ms       1.958ms       0.000us         0.00%     132.904ms     319.481us           0 b           0 b      12.82 Gb           0 b           416            --  
                                             aten::mul_         0.00%       1.263ms         0.82%     641.515ms       4.112ms       0.000us         0.00%      52.855ms     338.814us           0 b         208 b           0 b           0 b           156            --  
                                              aten::pad         0.00%     365.000us         0.77%     601.674ms       5.785ms       0.000us         0.00%      42.802ms     411.558us           0 b           0 b       2.92 Gb           0 b           104            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     548.000us         0.65%     513.679ms       7.554ms       0.000us         0.00%      28.894ms     424.912us           0 b           0 b      -2.32 Gb      -4.52 Gb            68            --  
                                          ReluBackward0         0.00%     432.000us         0.65%     513.131ms       7.546ms       0.000us         0.00%      28.894ms     424.912us           0 b           0 b       2.20 Gb           0 b            68            --  
                               aten::threshold_backward         0.00%       1.204ms         0.65%     512.699ms       7.540ms      28.894ms         0.07%      28.894ms     424.912us           0 b           0 b       2.20 Gb       2.20 Gb            68            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%     379.000us         0.58%     453.096ms      16.182ms       0.000us         0.00%     120.676ms       4.310ms           0 b           0 b    -607.61 Mb      -1.77 Gb            28            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.013ms         0.53%     414.155ms       5.177ms       0.000us         0.00%      53.977ms     674.712us           0 b           0 b      -1.65 Gb      -4.02 Gb            80            --  
                                CudnnBatchNormBackward0         0.00%     481.000us         0.53%     413.142ms       5.164ms       0.000us         0.00%      53.977ms     674.712us           0 b           0 b       2.37 Gb           0 b            80            --  
                        aten::cudnn_batch_norm_backward         0.00%       2.494ms         0.53%     412.661ms       5.158ms      53.977ms         0.14%      53.977ms     674.712us           0 b           0 b       2.37 Gb           0 b            80            --  
                                              aten::sub         0.00%       2.226ms         0.50%     389.491ms       2.497ms        4.331s        11.07%        4.331s      27.764ms           0 b           0 b     331.31 Gb     331.31 Gb           156            --  
                                   ConvolutionBackward0         0.00%     200.000us         0.48%     377.662ms      13.488ms       0.000us         0.00%     116.306ms       4.154ms           0 b           0 b     862.89 Mb           0 b            28            --  
                             aten::convolution_backward         0.00%       2.077ms         0.48%     377.462ms      13.481ms     116.306ms         0.30%     116.306ms       4.154ms           0 b           0 b     862.89 Mb     832.79 Mb            28            --  
                                            aten::randn         0.00%     117.000us         0.38%     294.467ms      36.808ms       0.000us         0.00%       0.000us       0.000us     147.10 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.37%     293.855ms         0.37%     293.855ms      36.732ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                     Conv2dRFFTFunction         0.01%       7.785ms         0.06%      50.988ms     980.538us       0.000us         0.00%       13.218s     254.195ms           0 b           0 b       1.46 Gb   -1112.38 Gb            52            --  
                                            aten::empty         0.02%      11.900ms         0.02%      11.900ms       5.519us       0.000us         0.00%       0.000us       0.000us     147.10 Mb     147.10 Mb      78.10 Gb      78.10 Gb          2156            --  
                                       aten::batch_norm         0.00%     198.000us         0.01%       8.534ms     106.675us       0.000us         0.00%      43.619ms     545.237us           0 b           0 b       3.64 Gb           0 b            80            --  
                           aten::_batch_norm_impl_index         0.00%     424.000us         0.01%       8.336ms     104.200us       0.000us         0.00%      43.619ms     545.237us           0 b           0 b       3.64 Gb           0 b            80            --  
                                 aten::cudnn_batch_norm         0.00%       3.322ms         0.01%       6.059ms      75.737us      31.818ms         0.08%      31.818ms     397.725us           0 b           0 b       2.37 Gb           0 b            80            --  
                                             aten::real         0.00%       1.245ms         0.01%       4.583ms      14.689us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                            aten::slice         0.00%       3.209ms         0.01%       4.414ms       3.395us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
