[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.01%       5.097ms        80.59%       44.821s      67.911ms     712.165ms         2.56%     715.050ms       1.083ms           0 b           0 b           0 b      -9.31 Mb           660            --  
                                          ProfilerStep*         0.00%     118.000us        50.08%       27.853s        6.963s       0.000us         0.00%       10.254s        2.563s       4.60 Mb        -544 b           0 b           0 b             4            --  
                                        cudaMemcpyAsync        39.99%       22.239s        39.99%       22.239s     132.375ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%      68.000us        39.83%       22.153s        1.846s       0.000us         0.00%       4.033ms     336.083us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     177.000us        39.83%       22.153s        1.846s       0.000us         0.00%       4.033ms     336.083us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      83.000us        39.83%       22.150s        5.538s       0.000us         0.00%       2.885ms     721.250us       9.19 Mb           0 b      -9.35 Mb      -9.35 Mb             4            --  
                                        ToCopyBackward0         0.00%      19.000us        39.83%       22.150s        5.538s       0.000us         0.00%       2.885ms     721.250us       9.19 Mb           0 b           0 b           0 b             4            --  
                              Conv2dRFFTFunction Step#9        12.48%        6.943s        12.52%        6.965s        6.965s       0.000us         0.00%        2.564s        2.564s          -4 b      -2.30 Mb           0 b    -494.30 Mb             1            --  
                              Conv2dRFFTFunction Step#8        12.48%        6.943s        12.52%        6.964s        6.964s       0.000us         0.00%        2.564s        2.564s       4.60 Mb       2.30 Mb           0 b    -493.96 Mb             1            --  
                             Conv2dRFFTFunction Step#10        12.48%        6.943s        12.52%        6.962s        6.962s       0.000us         0.00%        2.563s        2.563s          -4 b      -2.30 Mb           0 b    -493.96 Mb             1            --  
                             Conv2dRFFTFunction Step#11        12.48%        6.942s        12.52%        6.961s        6.961s       0.000us         0.00%        2.563s        2.563s          -4 b      -2.30 Mb           0 b    -494.30 Mb             1            --  
                                       cudaLaunchKernel         9.84%        5.472s         9.84%        5.472s       1.120ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4884            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...         0.00%     513.000us         8.70%        4.837s      93.016ms       0.000us         0.00%       17.477s     336.101ms           0 b           0 b      27.69 Gb    -933.97 Mb            52            --  
                             Conv2dRFFTFunctionBackward         0.02%      11.820ms         8.70%        4.836s      93.006ms       0.000us         0.00%       17.477s     336.101ms           0 b           0 b      28.60 Gb   -1236.66 Gb            52            --  
                                        aten::fft_rfftn         0.00%       1.220ms         3.14%        1.746s       6.714ms       0.000us         0.00%        2.768s      10.644ms           0 b           0 b      60.82 Gb     -44.27 Gb           260            --  
                                         aten::_fft_r2c         0.01%       7.717ms         2.28%        1.270s       4.885ms        2.501s         8.99%        2.501s       9.620ms           0 b           0 b      48.18 Gb    -127.70 Gb           260            --  
                                       aten::fft_irfftn         0.00%     489.000us         2.09%        1.162s       7.449ms       0.000us         0.00%        1.839s      11.786ms           0 b           0 b      29.45 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.01%       5.355ms         2.09%        1.162s       7.446ms        1.316s         4.73%        1.839s      11.786ms           0 b           0 b      29.45 Gb     -83.67 Gb           156            --  
