training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
39,4.486227035522461,4.609375,144.56185111775994,8.800021186470985,,,
79,3.945791244506836,13.515625,116.15717150270939,8.945128228515387,,,
119,3.266239643096924,22.265625,116.06258116662502,8.872948121279478,,,
159,2.967282295227051,25.0,116.08021538704634,8.86933347210288,,,
199,2.7881500720977783,27.65625,116.0451952368021,8.863859437406063,,,
239,2.6434831619262695,31.25,116.06311956420541,8.901681657880545,,,
279,2.4698472023010254,35.234375,116.03756546974182,8.937766123563051,,,
319,2.434082508087158,35.859375,116.08044672757387,8.951389510184526,,,
359,2.344999313354492,35.859375,116.1013687029481,8.940135315060616,,,
399,2.19970965385437,40.234375,116.09655814245343,8.935733139514923,,,
439,2.23565936088562,38.75,116.07779609039426,8.939203806221485,,,
479,2.14754319190979,41.640625,116.07846021652222,8.950729668140411,,,
519,2.194272756576538,39.6875,116.0719103179872,8.821340836584568,,,
559,2.17022705078125,42.421875,116.04583682492375,8.848047070205212,,,
599,2.0897700786590576,42.96875,116.06353251263499,8.906076569110155,,,
639,2.14457106590271,40.78125,116.07427289709449,8.905677404254675,,,
679,2.021574020385742,45.625,116.08077296987176,8.861948270350695,,,
719,2.0740714073181152,44.453125,116.06853902339935,8.861929643899202,,,
759,1.971098780632019,45.9375,116.08676668256521,8.845626004040241,,,
799,1.9853546619415283,44.609375,116.04818543419242,8.837303332984447,,,
839,1.9972753524780273,44.296875,116.06684494763613,8.873345330357552,,,
879,1.9844309091567993,45.3125,116.07619635760784,8.86167073622346,,,
919,1.8809932470321655,47.5,116.06916515156627,8.77636382356286,,,
959,1.919014573097229,46.328125,116.07161574065685,8.876512479037046,,,
999,1.9062464237213135,46.796875,116.02743128314614,8.880230505019426,,,
1039,1.8777077198028564,47.96875,116.04150030761957,8.869194332510233,,,
1079,1.815066933631897,50.15625,116.07760870829225,8.8640121743083,,,
1119,1.8318113088607788,48.828125,116.08077380806208,8.868650253862143,,,
1159,1.8612720966339111,47.65625,116.09748657792807,8.87886993587017,,,
1199,1.7597150802612305,50.9375,116.0678350366652,8.873388450592756,,,
1239,1.8479816913604736,49.6875,116.0886574536562,8.888853248208761,,,
1279,1.7689865827560425,50.390625,116.06207098811865,8.862169552594423,,,
