training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
156,1.0189831256866455,69.42675018310547,3589.621730789447,8378.902809018162,,,
313,0.8712697625160217,75.0,3582.1898408281577,8375.965233631196,,,
470,0.8769536018371582,74.44267272949219,3582.2486216617617,8375.720222806855,,,
627,0.8458300828933716,74.92037963867188,3582.2464390212945,8376.368265599012,,,
784,0.8658618330955505,76.35350799560547,3582.278686344244,8376.141624655693,,,
941,0.823722779750824,75.71656036376953,3582.31773381685,8376.787879545787,,,
1098,0.8176597952842712,76.35350799560547,3582.272508579075,8376.604967056566,,,
1255,0.8549739718437195,75.15923309326172,3582.252017204549,8376.779639654478,,,
1412,0.8604296445846558,75.39808654785156,3582.495031510569,8376.820182320987,,,
1569,0.8090667724609375,76.43312072753906,3582.352817865314,8376.599476476953,,,
1726,0.7425136566162109,78.8216552734375,3582.2268457739215,8374.882045018065,,,
1883,0.7180664539337158,79.37898254394531,3581.9451130072403,8372.235627714426,,,
2040,0.8028138875961304,75.95541381835938,3581.872636701461,8372.481677016825,,,
2197,0.8027223348617554,77.46815490722656,3581.775308509541,8372.663080312645,,,
2354,0.7729345560073853,77.7070083618164,3581.743446932097,8372.178140007387,,,
2511,0.8233634829521179,75.39808654785156,3581.912477210069,8372.39470261677,,,
2668,0.7727727890014648,77.22930145263672,3581.8979385409766,8372.369633904498,,,
2825,0.8095685839653015,75.87580108642578,3581.740576845066,8372.222448230548,,,
2982,0.7635329961776733,78.10509490966797,3581.6334248490775,8371.665899896887,,,
3139,0.7128707766532898,79.06050872802734,3581.644972987995,8371.620954293165,,,
3296,0.7461316585540771,77.30892181396484,3581.721886043336,8371.716345357858,,,
3453,0.7048130631446838,79.14012908935547,3581.7395505157247,8371.663443459447,,,
3610,0.780380368232727,77.62738800048828,3581.7101186817617,8372.075864890958,,,
3767,0.7032748460769653,79.29936218261719,3581.772973345723,8372.455810926333,,,
3924,0.6939020156860352,79.29936218261719,3581.952027834145,8372.51191529309,,,
4081,0.7668001055717468,76.99044799804688,3581.7639886810903,8372.492227394869,,,
4238,0.6460784673690796,80.8917236328125,3581.869962180306,8372.332921026238,,,
4395,0.7155752778053284,78.50318908691406,3582.0275704572155,8371.730316643881,,,
4552,0.730711042881012,78.50318908691406,3582.12564411057,8372.277510417685,,,
4709,0.6434677839279175,80.33439636230469,3582.114104323896,8372.152179479599,,,
4866,0.6908242702484131,79.29936218261719,3582.1169550963646,8372.602500638384,,,
5023,0.6622598171234131,80.65287017822266,3581.9347035733,8372.258766465317,,,
5180,0.7178441882133484,77.46815490722656,3581.8037074652448,8372.325226545903,,,
5337,0.6985052227973938,80.17516326904297,3581.7241823644777,8372.313689938775,,,
5494,0.6782577633857727,80.01592254638672,3581.8149358698515,8372.284544809798,,,
5651,0.744631826877594,78.7420425415039,3582.0697131477723,8372.24161000863,,,
5808,0.6503239274024963,79.856689453125,3581.2760528627855,8370.895283996679,,,
5965,0.6209455728530884,80.01592254638672,3582.6487897118186,8373.733309305208,,,
6122,0.6641934514045715,79.37898254394531,3581.9429154893396,8372.463571085671,,,
6249,,,,,0.8854385614395142,76.16999816894531,3568.190635943413
